Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
1/11/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
,,,,,,
1/4/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,156
,,,,,,
12/28/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,156
,,,,,,
12/21/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,160
,,,,,,
12/14/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
,,,,,,
12/7/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
,,,,,,
11/30/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
,,,,,,
11/23/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
,,,,,,
11/16/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,160
,,,,,,
11/9/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
,,,,,,
11/2/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
,,,,,,
10/26/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
,,,,,,
10/19/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,174
,,,,,,
10/12/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,179
,,,,,,
10/5/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,193
,,,,,,
9/28/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,199
,,,,,,
9/21/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,210
,,,,,,
9/14/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
,,,,,,
9/7/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,230
,,,,,,
8/31/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,235
,,,,,,
8/24/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,240
,,,,,,
8/17/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
,,,,,,
8/10/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
,,,,,,
8/3/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,294
,,,,,,
7/27/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,319
,,,,,,
7/20/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,315
,,,,,,
7/13/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,316
,,,,,,
7/6/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,320
,,,,,,
6/29/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,473
,,,,,,
6/22/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,292
,,,,,,
6/15/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,283
,,,,,,
6/8/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,273
,,,,,,
6/1/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,274
,,,,,,
5/23/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,164
,,,,,,
5/16/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,123
,,,,,,
5/9/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,84
,,,,,,
5/2/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,61
,,,,,,
4/25/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
10/5/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
9/28/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
9/21/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
,,,,,,
9/14/2015,Boston,Allston,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,63
,,,,,,
